SalesOrg;Customer_Name;EAN_UPC_Code;Week_Date_Start;Currency;Sales_Value;Sales_Volume;Retail Sales Price;Base_Sales_Value;Base_Sales_Volume;Incremental_Sales_Value;Incremental_Sales_Volume;ACV Weighted Distribution;ACV Weighted Distribution No Merch;ACV Weighted Distribution Any Merch;ACV Weighted Distribution Price Reductions Only;ACV Weighted Distribution Feature Only;ACV Weighted Distribution Display Only;ACV Weighted Distribution Feature and Display;ACV Weighted Distribution Feature and/or Display;RoS;Promoted ACV %;In-store Price Discount %;COVID;Week_of_Year;Post event deep
B01;B;33409;2019-01-06;BBB;156797.7504;15663.83795;10.0101744476998;151826.9869;15124.09927;4970.763488;539.7386775;79.98539167;70.85530199;9.13008968;1.615779923;0.00;7.514309757;0.00;7.514309757;195.83373442272;0.114146964706612; 0.997153899634092 ;0.00;1;0
B01;B;33409;2019-01-13;BBB;186126.9462;21054.32601;8.84031842727223;127852.6208;13004.89625;58274.32539;8049.429755;81.65051359;1.088101708;80.56241188;1.324602705;71.97082002;0.289375034;6.977614123;79.23780917;257.85907625422;0.986673669739987; 0.899218359735325 ;0.00;2;0
B01;B;33409;2019-01-20;BBB;137389.4442;13726.8146;10.0088365876232;134915.7095;13467.75593;2473.734615;259.0586684;75.19999935;68.99952736;6.200471998;1.529275867;0.00;4.671196131;0.00;4.671196131;182.537429769273;0.0824530857924801; 0.999116921260851 ;0.00;3;0
B01;B;33409;2019-01-27;BBB;152807.1377;16650.00195;9.17760479301325;115114.5846;11889.90972;37692.55313;4760.092228;80.45062345;2.650268227;77.80035522;0.00;72.92159972;0.033262076;4.845493424;77.80035522;206.959265646312;0.967057207062576; 0.947932816801103 ;0.00;4;0
B01;B;33409;2019-02-03;BBB;136449.5288;13632.72777;10.0089674716654;133447.8132;13295.02824;3001.715563;337.6995322;75.69269524;69.11287441;6.579820837;1.669738557;0.00;4.910082281;0.00;4.910082281;180.106253671831;0.0869280822427747; 0.997165123939497 ;0.00;5;0
B01;B;33409;2019-02-10;BBB;178907.9454;20279.2707;8.822208058991;123256.1849;12522.62229;55651.76049;7756.648413;80.5166438;1.353739766;79.16290403;1.202836042;72.86891396;0.032876143;5.058277893;77.96006799;251.864331930835;0.983186833105431; 0.896321587238567 ;0.00;6;0
B01;B;33409;2019-02-17;BBB;143476.22;14304.1189;10.0304129882477;140990.5895;14040.27357;2485.630424;263.8453372;76.93568149;71.02767798;5.90800351;0.732426607;0.00;5.175576903;0.00;5.175576903;185.923080461167;0.0767914626293122; 0.998859164108105 ;0.00;7;0
B01;B;33409;2019-02-24;BBB;120578.8816;12029.90695;10.0232597060944;118611.9739;11816.54195;1966.907656;213.3650006;73.16620106;67.46516625;5.70103481;0.807639008;0.00;4.893395803;0.00;4.893395803;164.418908945879;0.0779189670559069; 0.998552379649835 ;0.00;8;0
B01;B;33409;2019-03-03;BBB;137457.0838;13697.93344;10.0348774800296;135259.8098;13472.36826;2197.273995;225.565181;77.51225497;72.00483695;5.507418019;0.41200794;0.00;5.095410079;0.00;5.095410079;176.7195838297;0.0710522229179317; 0.999510239256152 ;0.00;9;0
B01;B;33409;2019-03-10;BBB;137527.2461;13733.70937;10.0138456694311;134784.1009;13429.42394;2743.145236;304.2854302;77.84606448;71.12129837;6.724766117;1.393554009;0.00;5.331212109;0.00;5.331212109;176.421370325387;0.0863854346641725; 0.997745118797787 ;0.00;10;0
B01;B;33409;2019-03-17;BBB;164900.62;18389.63586;8.96704106896873;115978.8519;11728.34817;48921.76804;6661.287691;79.1676328;2.459378305;76.70825449;0.02627638;71.42426344;0.089402432;5.168312238;76.68197811;232.287302393611;0.968934547832028; 0.906791005331156 ;0.00;11;0
B01;B;33409;2019-03-24;BBB;116370.2825;11603.82961;10.0286100719468;114825.5963;11439.40162;1544.686221;164.4279934;74.31689029;68.52549465;5.79139564;0.513766907;0.00;5.277628733;0.00;5.277628733;156.139870286814;0.0779283904022459; 0.999091683387814 ;0.00;12;0
B01;B;33409;2019-03-31;BBB;137394.6609;13745.22446;9.99581063953029;133629.9198;13317.128;3764.741097;428.0964594;78.58777445;71.0602517;7.527522751;1.754148446;0.00;5.773374305;0.00;5.773374305;174.902833884743;0.0957849080684839; 0.9961503378107 ;0.00;13;0
B01;B;33409;2019-04-07;BBB;170000.9967;18954.74668;8.96878230925532;117610.7853;11881.98207;52390.21141;7072.764615;81.71851489;2.536123904;79.18239099;0.00;71.46754371;0.074377503;7.640469777;79.18239099;231.951678337702;0.968965124936328; 0.906098112655871 ;0.00;14;0
B01;B;33409;2019-04-14;BBB;129422.6143;12899.91679;10.0328255140629;127135.4791;12661.58939;2287.135137;238.3274077;76.71051992;70.16886107;6.541658849;0.564464944;0.00;5.977193905;0.00;5.977193905;168.163594816631;0.0852772065138155; 0.999182273743287 ;0.00;15;0
B01;B;33409;2019-04-21;BBB;99155.83476;9876.351708;10.0397229353104;97973.32782;9756.006288;1182.506934;120.3454198;69.84860118;64.83343248;5.0151687;0.192482978;0.00;4.822685723;0.00;4.822685723;141.396556855142;0.0718005602871831; 0.999737400638455 ;0.00;16;0
B01;B;33409;2019-04-28;BBB;136751.4756;13676.20197;9.99922901840561;132514.9552;13207.89822;4236.5204;468.3037525;78.13213063;71.45173485;6.680395776;1.394323875;0.00;5.286071901;0.00;5.286071901;175.039409007858;0.0855012620561375; 0.996633164568068 ;0.00;17;0
B01;B;33409;2019-05-05;BBB;187160.2388;21090.53071;8.8741360458634;120211.1226;12124.94999;66949.11629;8965.580717;83.07405799;2.490036697;80.58402129;0.036022573;74.65872719;0.0431545;5.846117025;80.54799872;253.876254757397;0.970026302310888; 0.895079036226803 ;0.00;18;0
B01;B;33409;2019-05-12;BBB;130159.7627;12974.35452;10.0320800159544;127087.9043;12653.59148;3071.858389;320.7630328;76.92672514;70.10670812;6.820017028;0.594090335;0.00;6.225926693;0.00;6.225926693;168.658609818471;0.0886560166910545; 0.998850700353856 ;0.00;19;0
B01;B;33409;2019-05-19;BBB;108692.7105;10829.46595;10.0367562908308;106996.9702;10650.66373;1695.740293;178.8022146;71.62731822;65.66028779;5.967030431;0.394936515;0.00;5.572093916;0.00;5.572093916;151.191838800076;0.0833066290807167; 0.999076104620399 ;0.00;20;0
B01;B;33409;2019-05-26;BBB;128830.9232;12839.37354;10.034050555398;126329.6628;12579.85301;2501.260385;259.520535;76.29328543;69.77212914;6.521156293;0.482746434;0.00;6.038409859;0.00;6.038409859;168.289692436699;0.085474839053605; 0.99918640075572 ;0.00;21;0
B01;B;33409;2019-06-02;BBB;130147.6407;12969.85756;10.0346237495611;127162.2742;12660.52557;2985.366485;309.3319845;76.44879892;68.6475761;7.801222824;0.435510505;0.00;7.365712319;0.00;7.365712319;169.654170415056;0.10204506721111; 0.999066833035985 ;0.00;22;0
B01;B;33409;2019-06-09;BBB;109044.8003;10866.7415299999;10.0347284417283;109016.0154;10857.3526;28.78496469;9.388926177;72.54007418;72.14978612;0.390288065;0.390288065;0.00;0.00;0.00;0.00;149.803286705157;0.00538030970345501; 0.999399808710058 ;0.00;23;0
