SalesOrderItemNumber,DeliveryNumber,DeliveryItemNumber,Material,DeliveryQuantity,Volume,NetWeight,GrossWeight
290,2062892697,900021,6E+13,281,5000,0.776,15.276
290,2062892697,900022,6E+13,17,5000,0.512,15.012
71,2104370950,900021,6E+13,53,27464,2.9,17.4
71,2104370950,900022,6E+13,29,16232,1.7,16.2
110,2062892698,900021,6E+13,1349,160366.4,83.828,98.328
110,2062892698,900022,6E+13,2021,238049.6,125.492,139.992
120,2062892698,900023,6E+13,149,68000,42.836,57.336
120,2062892698,900024,6E+13,341,152000,99.284,113.784
130,2062892698,900025,6E+13,749,580856,409.7,424.2
130,2062892698,900026,6E+13,461,357944,251.3,265.8
340,2062892698,900027,232822,185,80600,72.5,87
340,2062892698,900028,232822,65,30200,24.5,39
60,2062966013,900021,6E+13,1397,3137000,473.78,488.28
60,2062966013,900022,6E+13,1013,2273000,343.22,357.72
30,2063065742,900021,6E+13,965,240200,403.7,418.2
30,2063065742,900022,6E+13,3845,945800,1613.3,1627.8
50,2063065742,900023,6E+13,269,1188988.784,483.62,498.12
50,2063065742,900024,6E+13,221,973718.096,395.78,410.28
80,2063065742,900025,6E+13,245,372069.2,77.3,91.8
80,2063065742,900026,6E+13,125,188534.6,38.9,53.4
240,2063065742,900027,6E+13,1985,9951.98,69.8,84.3
240,2063065742,900028,6E+13,1265,8151.26,44.6,59.1
400,2063065742,900029,241770,385,159375,26.72,41.22
400,2063065742,900030,241770,25,13125,1.88,16.38
550,2063065742,900031,6E+13,161,83624,43.712,58.212
550,2063065742,900032,6E+13,929,470696,256.448,270.948
670,2063065742,900033,241107,23,5000.018,0.518,15.018
670,2063065742,900034,241107,1031,5001.026,1.526,16.026
670,2063065742,900035,241107,161,5000.156,0.656,15.156
40,2063261794,900021,6E+13,269,309128,132.5,147
40,2063261794,900022,6E+13,533,613256,264.5,279
80,2063261794,900023,6E+13,269,408776.12,84.98,99.48
80,2063261794,900024,6E+13,29,41706.92,8.18,22.68
150,2063261794,900025,6E+13,65,51440,33.5,48
150,2063261794,900026,6E+13,65,51440,33.5,48
150,2063261794,900027,6E+13,137,107168,73.1,87.6
150,2063261794,900028,6E+13,221,172184,119.3,133.8
150,2063261794,900029,6E+13,17,14288,7.1,21.6
170,2063261794,900030,6E+13,125,5000,61.1,75.6
170,2063261794,900031,6E+13,245,5000,121.7,136.2
400,2063261794,900032,209401,170,263637.5,79.7,94.2
400,2063261794,900033,209401,80,122562.5,36.5,51
730,2063261794,900034,6E+13,329,5000,0.824,15.324
730,2063261794,900035,6E+13,257,5000,0.752,15.252
30,2063347471,900021,6E+13,2309,271342.4,143.348,157.848
30,2063347471,900022,6E+13,7301,848417.6,452.852,467.352
70,2063347471,900023,240742,5235,695360,1517.2,1531.7
70,2063347471,900024,240742,3095,412880,896.6,911.1
120,2063347471,900025,6E+13,1301,331592,64.004,78.504
120,2063347471,900026,6E+13,7349,1855688,360.356,374.856
20,2063347475,900021,6E+13,1325,1026680,726.5,741
20,2063347475,900022,6E+13,1325,1026680,726.5,741
30,2063347475,900023,6E+13,1925,845000,564.98,579.48
30,2063347475,900024,6E+13,1925,845000,564.98,579.48
40,2063347475,900025,6E+13,749,580856,409.7,424.2
40,2063347475,900026,6E+13,1325,1026680,726.5,741
40,2063347475,900027,6E+13,353,274352,191.9,206.4
40,2063347475,900028,6E+13,161,125744,86.3,100.8
40,2063347475,900029,6E+13,77,60728,40.1,54.6
50,2063347475,900030,6E+13,221,73607,32.9,47.4
50,2063347475,900031,6E+13,1709,546233,256.1,270.6
80,2063347475,900032,232815,125,30920,27.26,41.76
80,2063347475,900033,232815,29,10184,5.852,20.352
240,2063385151,900021,6E+13,305,153155,39.5,54
240,2063385151,900022,6E+13,425,212417,55.1,69.6
60,2063385376,900021,6E+13,101,79304,53.3,67.8
60,2063385376,900022,6E+13,269,209336,145.7,160.2
170,2063389931,900021,6E+13,149,46472,18.788,33.288
170,2063389931,900022,6E+13,365,108680,46.22,60.72
260,2063466394,900021,237070,1301,108680,17.348,31.848
260,2063466394,900022,237070,629,54920,8.612,23.112
260,2063466394,900023,237070,389,35720,5.492,19.992
280,2063466394,900024,6E+13,17,8456,2.036,16.536
280,2063466394,900025,6E+13,209,63752,26.612,41.112
380,2063466394,900026,234277,161,7299.752,3.62,18.12
380,2063466394,900027,234277,89,6238.328,2.18,16.68
30,2063466466,900021,6E+13,245,281480,120.5,135
30,2063466466,900022,6E+13,557,640904,276.5,291
140,2104370974,900021,6E+13,41,41000,32.9,47.4
140,2104370974,900022,6E+13,89,89000,76.1,90.6
20,2104370977,900021,6E+13,3461,7253.312,691.7,740.76
20,2104370977,900022,6E+13,1349,5876.288,269.3,297.24
180,2104370977,900023,6E+13,89,89000,76.1,90.6
180,2104370977,900024,6E+13,341,341000,302.9,317.4
250,2104370977,900025,6E+13,473,139784,22.028,36.528
250,2104370977,900026,6E+13,401,119048,18.716,33.216
430,2104370977,900027,6E+13,35,19815.5,4.46,20.13
430,2104370977,900028,6E+13,695,345756.5,91.58,132.99
101,2104390098,900021,6E+13,113,7808,1.472,15.324
101,2104390098,900022,6E+13,977,30272,9.248,17.916
